"pais";"valor";"indicador"
"Israel";"5800000";"2018|Facebook"
"Singapore";"2226580";"2010|Facebook"
"Lebanon";"43,68";"2010|Internet_pc"
"Turkey";"44000000";"2018|Facebook"
"Greece";"5000000";"2018|Facebook"
"Libya";"57,8";"2018|Internet_pc"
"Mauritania";"770000";"2018|Facebook"
"Colombia";"10226820";"2010|Facebook"
"Russian Federation";"13100000";"2018|Facebook"
"Jordan";" 9956011 ";"2018|poblacion"
"Uganda";"12,5";"2010|Internet_pc"
"Denmark";"88,72";"2010|Internet_pc"
"Hong Kong SAR, China";" 7024200 ";"2010|poblacion"
"Kuwait";"61,4";"2010|Internet_pc"
"Spain";" 46723749 ";"2018|poblacion"
"Germany";"9949760";"2010|Facebook"
"South Africa";"2884080";"2010|Facebook"
"Jordan";"923400";"2010|Facebook"
"Iceland";"265420";"2010|Facebook"
"Malaysia";"81,20170665";"2018|Internet_pc"
"Mauritania";" 4403319 ";"2018|poblacion"
"Croatia";"72,68877088";"2018|Internet_pc"
"Kuwait";" 4137309 ";"2018|poblacion"
"Vietnam";" 95540395 ";"2018|poblacion"
"Bahrain";"226480";"2010|Facebook"
"Malta";" 414508 ";"2010|poblacion"
"Norway";"2291720";"2010|Facebook"
"Russian Federation";" 142849449 ";"2010|poblacion"
"Uganda";" 42723139 ";"2018|poblacion"
"Portugal";"53,3";"2010|Internet_pc"
"Ethiopia";" 109224559 ";"2018|poblacion"
"Croatia";"56,55";"2010|Internet_pc"
"Finland";"2700000";"2018|Facebook"
"Netherlands";" 16615394 ";"2010|poblacion"
"Egypt, Arab Rep.";"21,6";"2010|Internet_pc"
"Sweden";"90";"2010|Internet_pc"
"Saudi Arabia";"2267060";"2010|Facebook"
"United Kingdom";"26543600";"2010|Facebook"
"Poland";" 37978548 ";"2018|poblacion"
"Thailand";"22,4";"2010|Internet_pc"
"Korea, Rep.";"95,8982922";"2018|Internet_pc"
"Greece";" 10727668 ";"2018|poblacion"
"South Africa";"24";"2010|Internet_pc"
"Ethiopia";"4500000";"2018|Facebook"
"Rwanda";"46,8";"2018|Internet_pc"
"Uganda";"168720";"2010|Facebook"
"Malaysia";" 31528585 ";"2018|poblacion"
"Finland";" 5518050 ";"2018|poblacion"
"China";"119480";"2010|Facebook"
"Mauritania";" 3494195 ";"2010|poblacion"
"Tunisia";" 10635244 ";"2010|poblacion"
"Japan";"93";"2018|Internet_pc"
"Korea, Rep.";"83,7";"2010|Internet_pc"
"Vietnam";"50000000";"2018|Facebook"
"Croatia";" 4295427 ";"2010|poblacion"
"France";"33000000";"2018|Facebook"
"Israel";"67,5";"2010|Internet_pc"
"Ireland";"84,52230206";"2018|Internet_pc"
"Poland";"14000000";"2018|Facebook"
"Algeria";"12,5";"2010|Internet_pc"
"Israel";"81,6";"2018|Internet_pc"
"Hong Kong SAR, China";"87";"2018|Internet_pc"
"Serbia";"3400000";"2018|Facebook"
"Mauritania";"29600";"2010|Facebook"
"Jordan";" 7261539 ";"2010|poblacion"
"Thailand";" 67195028 ";"2010|poblacion"
"Hong Kong SAR, China";" 7451000 ";"2018|poblacion"
"Pakistan";"32000000";"2018|Facebook"
"Hungary";"76,07436064";"2018|Internet_pc"
"Ukraine";"425680";"2010|Facebook"
"Pakistan";"8";"2010|Internet_pc"
"Qatar";"99,65284913";"2018|Internet_pc"
"Oman";"35,8278";"2010|Internet_pc"
"Slovenia";" 2067372 ";"2018|poblacion"
"Italy";"53,68";"2010|Internet_pc"
"Mauritania";"4";"2010|Internet_pc"
"Italy";" 59277417 ";"2010|poblacion"
"Estonia";" 1320884 ";"2018|poblacion"
"Netherlands";"2644640";"2010|Facebook"
"Hungary";"1455840";"2010|Facebook"
"Sri Lanka";"34,1";"2018|Internet_pc"
"Iceland";" 353574 ";"2018|poblacion"
"Rwanda";"8";"2010|Internet_pc"
"Argentina";" 44494502 ";"2018|poblacion"
"Sri Lanka";"12";"2010|Internet_pc"
"Taiwan";NA;"2010|Internet_pc"
"Lebanon";" 4953061 ";"2010|poblacion"
"Austria";" 8363404 ";"2010|poblacion"
"Pakistan";"3119440";"2010|Facebook"
"Lebanon";"91,4";"2018|Internet_pc"
"Chile";"45";"2010|Internet_pc"
"Singapore";" 5638676 ";"2018|poblacion"
"Thailand";" 69428524 ";"2018|poblacion"
"Iceland";"93,39";"2010|Internet_pc"
"Canada";"23000000";"2018|Facebook"
"Poland";"62,32";"2010|Internet_pc"
"Austria";"75,17";"2010|Internet_pc"
"Singapore";"71";"2010|Internet_pc"
"Slovenia";"70";"2010|Internet_pc"
"Romania";"1555360";"2010|Facebook"
"Canada";"90";"2018|Internet_pc"
"Portugal";"2494540";"2010|Facebook"
"Norway";" 4889252 ";"2010|poblacion"
"Bangladesh";"28000000";"2018|Facebook"
"Romania";"70,68127793";"2018|Internet_pc"
"Mexico";" 126190788 ";"2018|poblacion"
"Egypt, Arab Rep.";"3581460";"2010|Facebook"
"Philippines";"62000000";"2018|Facebook"
"Morocco";"15000000";"2018|Facebook"
"Saudi Arabia";" 27421461 ";"2010|poblacion"
"Colombia";" 45222700 ";"2010|poblacion"
"Venezuela, RB";"37,37";"2010|Internet_pc"
"Russian Federation";"1244280";"2010|Facebook"
"Philippines";" 93966780 ";"2010|poblacion"
"Oman";" 4829483 ";"2018|poblacion"
"Algeria";"59,57968476";"2018|Internet_pc"
"Portugal";"74,66096828";"2018|Internet_pc"
"Finland";"1793300";"2010|Facebook"
"Iraq";" 29741976 ";"2010|poblacion"
"Serbia";" 6982084 ";"2018|poblacion"
"Philippines";"25";"2010|Internet_pc"
"Slovenia";"582000";"2010|Facebook"
"Oman";"2630000";"2018|Facebook"
"Japan";" 128070000 ";"2010|poblacion"
"Brazil";" 195713635 ";"2010|poblacion"
"Libya";"3500000";"2018|Facebook"
"Argentina";" 40788453 ";"2010|poblacion"
"Taiwan";" 23.140.948,00 ";"2010|poblacion"
"Tunisia";" 11565204 ";"2018|poblacion"
